"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    
          0,           0,          76,      -4.610052376,      -4.109409491,      -4.176227765,      -10.46903077
          0,           0,          77,      -4.606913632,       -4.10228208,      -4.168374103,      -10.45540185
          0,           0,          78,      -4.603646721,      -4.095239659,      -4.160769938,      -10.44202572
          0,           0,          79,      -4.600249765,      -4.088293011,      -4.153431466,      -10.42896461
          0,           0,          80,      -4.596726967,      -4.081452132,      -4.146370928,      -10.41614766
          0,           0,          81,      -4.593087346,      -4.074726432,      -4.139597095,      -10.40364102
          0,           0,          82,      -4.589343039,      -4.068125617,      -4.133117248,      -10.39137346
          0,           0,          83,      -4.585509809,      -4.061659154,      -4.126936229,      -10.37937766
          0,           0,          84,      -4.581605081,      -4.055337189,      -4.121059301,      -10.36765055
          0,           0,          85,      -4.577650075,       -4.04916885,      -4.115489084,      -10.35615721
          0,           0,          86,      -4.573666505,      -4.043163523,      -4.110230107,      -10.34490659
          0,           0,          87,      -4.569678804,      -4.037328717,      -4.105285134,      -10.33390994
          0,           0,          88,      -4.565712461,      -4.031670033,      -4.100657005,        -10.323136
          0,           0,          89,      -4.561795963,      -4.026188633,      -4.096344927,      -10.31263479
          0,           0,          90,       -4.55795563,      -4.020882107,       -4.09234881,      -10.30227764
          0,           0,          91,      -4.554217048,      -4.015742278,      -4.088664515,      -10.29224979
          0,           0,          92,      -4.550601784,      -4.010755549,      -4.085284772,      -10.28234539
          0,           0,          93,      -4.547130718,      -4.005900345,       -4.08219284,      -10.27270749
          0,           0,          94,      -4.543817456,      -4.001149373,      -4.079366372,      -10.26329818
          0,           0,          95,      -4.540666116,      -3.996471574,      -4.076776239,      -10.25407035
          0,           0,          96,      -4.537676638,      -3.991832138,      -4.074381178,      -10.24516341
          0,           0,          97,      -4.534842851,      -3.987195784,      -4.072130671,      -10.23640215
          0,           0,          98,      -4.532152455,      -3.982530368,       -4.06996731,      -10.22791799
